AN,TAB,Seed
1000,"Urban Growth Dynamics and Changing Land-Use Land-Cover of Megacity Kolkata and Its Environs Spatio-temporal land-use land-cover changes have a long-term impact on urban environments. The present study is based on land-use land-cover changes and urban expansion of megacity Kolkata and its environs over three decades (1991-2018) using multitemporal Landsat data. The study aims to explore and explain the spatio-temporal land-use land-cover change, areal differentiation, spatio-temporal urban growth trajectory and future land-use land-cover prediction with population projection. The spatio-temporal representation found rapid urbanization, i.e. 19% to 57%, exactly three times as in 1991, resulting in significant loss of other than urban/built-up area. Urban trajectory reveals that the expansion mainly occurred in north-east to south-west direction, the zone of both sides of River Hooghly. Areal differentiation map with highest urbanization (3146 ha or UII = 0.64) was identified in the north-north-west part, while least urbanization was identified in the east-north-east direction. On the other hand, this urbanization has grabbed most (i.e. 87%) of the areas within 5-km ring buffer compared to other three ring buffers. Being Kolkata as a traditional city, it has all modern facilities since British rule; as a result, the high population growth and rapid urban expansion were explored in the study. Therefore, urban growth led to radical changes in land-use land-cover, which were witnessed by sharp decreases in sparse vegetation and fallow land. The correlation explained that increasing urbanization has decreased the amount of water body and vegetation. The future prediction graph identified the more horrible picture: the city and its environs will be covered by 67% built-up, while there will be only 3% water body, 14% vegetation and 16% fallow land of the total geographical area with a population (projection) of 28 million in 2051 if it is continued. Such expansion will create a wide range of mismanagement and environmental problems. Hence, the intensive explanation and areal differentiation maps and diagrams prepared using geospatial data will definitely help to understand the urban growth dynamics process and changing form of land-use land-cover and simultaneously decision-making process of the local planners, stakeholders and academicians. Therefore, it also guides to future planning to decrease the adverse effects of urbanization and result in the form of land-use land-cover and makes an eco-friendly megacity as well as sustainable urban development too.",
1001,"Reduction in exposure to arsenic from drinking well-water in Bangladesh limited by insufficient testing and awareness This study considers potential policy responses to the still very high levels of exposure to arsenic (As) caused by drinking water from shallow tubewells in rural Bangladesh. It examines a survey of 4,109 households in 76 villages of Araihazar upazila conducted two years after a national testing campaign swept through the area. The area is adjacent to the region where a long-term study was initiated in 2000 and where households are periodically reminded of health risks associated with well-water elevated in As. Results confirm that testing spurs switching away from unsafe wells, although the 27% fraction who switched was only about half of that in the long-term study area. By village, the fraction of households that switched varied with the availability of safe wells and the distance from the long-term study area. Lacking follow-up testing, two years only after the campaign 21% of households did not know the status of their well and 21% of households with an unsafe well that switched did so to an untested well. Well testing is again urgently needed in Bangladesh and should be paired with better ways to raise awareness and the installation of additional deep community wells.",1
1002,"Optimization of phenol adsorption onto biochar from oil palm empty fruit bunch (EFB) Malaysia, as one of the leading palm oil producers in the world faces problems in disposal of oil palm empty fruit bunch (EFB), which can be converted into various value-added products, including adsorbents. This study investigated the adsorption of phenol from its solution using biochar produced from EFB through carbonization. Response Surface Methodology (RSM) with Box-Behnken design was used to investigate the effects of three parameters (temperature, time and heating rate) during carbonization on phenol removal by the biochar produced. This was followed by process optimization based on statistical analysis. The results indicated that the optimized carbonization conditions were; 500 degrees C for temperature, 10 degrees C/min of heating rate and 80 min for reaction tim which led to 7.57% of phenol removal. SEM revealed coarse and uneven surface of the biochar surface, with small degree of pore development. Comparison between FTIR spectrum of EFB and biochar revealed the loss water and hydroxyl compounds from EFB during carbonization. The lack of oxygenated groups (especially carbonyl groups) on the adsorbent surface as well as limited number of pores were the possible reasons leading to low phenol adsorption by biochar, therefore conversion of the biochar to activated carbon was necessary for higher adsorption performance.",
1003,"Long-term trends in hydrochemistry in the Paraiba do Sul River, southeastern Brazil The Paraiba do Sul watershed is an important hydrological resource for southeastern Brazil, that has undergone extensive land use changes related to industrial, agricultural and urban activities. Over 11 years, between 1997 and 2007, a long-term study was conducted to evaluate hydrochemical variation in the basin outlet through estimations of annual fluxes and identification of their controlling factors. River water was classified as Na-HCO3, with TDS ranging from 32 to 132 mg L-1. Variation between seasons was found: cations, total alkalinity, electrical conductivity, dissolved oxygen, nitrate and chlorophyll ""a"" had increased values the during low discharge period, while concentrations of DOC, ammonium, nitrite, phosphate and SPM had increased values during the high discharge period. Chloride, sulfate, silica and pH showed no clear relationship with discharge. These patterns also were correlated with hydrological flow paths originating from different sources. Wavelet decomposition was used to characterize precipitation anomalies largely associated both with long-term climate factors (i.e. ENSO) and short-term climate responses from the two discharge periods that were studied. Distinct responses of fluvial hydrochemistry were observed including ENSO-induced fluctuation to be particularly strong for DOC, with annual flux varying approximately 60% around measured median value. (C) 2013 Published by Elsevier B.V.",
1004,"Application research of crosshole electromagnetic tomography The main technological objective of crosshole EM tomography is to realize direct electrical measurements between wells and acquire 2D or 3D resistivity images reflecting hydrocarbon and water distribution between wells. A co-operation and joint study between Shengli Oilfield of China and EMI Company of USA for the application method of crosshole EM system has being gone on since 1997. The cooperation comprises of the following aspects: to examine further the performance of the tools and explicit improvement direction, to analyse the adaptability and the feasibility to reservoir research through large-scale and systematic field tests in the condition of large well separation, to accelerate the development of processing and interpretation method and its software based on systematic field data to carry on systematic tests in steel-cased boreholes and explore the imaging method of resistivity in the condition of steel-casing. In November 1998, June and July 1999, large-scale industrial field tests with 10 measurements in 3 pairs wells were successfully conducted in the low resistivity profile in Shengli Oilfield. Firstly, the formation is of typical low resistivity profile with the background resistivity of 1.5-2. 0 Omegam. The attenuation of the EM energy in the formation is very serious. Secondly, the field tests were conducted systematically passing through one and two steel-casing. The desired goals were achieved in the three tests. Not only is the performance of the tools proved to be stable and reliable, but also complete crosshole EM data with good repeatability and accuracy were acquired for the first time in the world between the wells with the separation of 434m of open-hole to open-hole and 150m of open-hole to casing-hole. The resistivity images derived from the data inversion shows good geological results in the analysis of hydrocarbon distribution and reservoir recovery states between wells.",
1005,"An environmentally-friendly integrated seismic imaging for coal exploration in the Miocene Soma Basin, Western Turkey Seismic reflection data from target depths of several hundred metres have been acquired and processed as an aid for lignite exploration in the Miocene Soma Basin, western Turkey. An environmentally-friendly approach was followed by acquiring the data with mini-vibroseisseismic source along crooked lines, using available mountain/forest and village roads; quality control tests were conducted to determine optimal field parameters that would yield dataset with best signal-to-noise (SN) ratio prior to real data acquisition; and stratigraphic interfaces giving rise to reflection events in the seismic data were identified from the vertical seismic profiling (VSP). Stacked seismic sections were successfully correlated with geological cross-sections drawn based on available borehole data. Thus, it is shown that decreasing time and the cost for coal exploration is possible by utilising surface and VSP. Environment friendly approach of the seismic method applied in this study is also beneficial in regard to environmental concerns.",
1006,Risk of arsenic-related skin lesions in Bangladeshi villages at relatively low exposure: a report from Gonoshasthaya Kendra available from the publisher. fre spa ara,1
1007,"Proposal of an irrigation water quality index (IWQI) for regional use in the Federal District, Brazil The present study aimed to propose a water quality index (WQI) for the Federal District, Brazil, as a management tool for water resources used in irrigation. Irrigated agriculture is a sector that has been growing in the region, with a consequent demand for quality water. One strategy for assessing water quality in rural areas is to adopt monitoring programs, which generate a large amount of data that often needs to be synthesized. The use of indexes is a way of organizing data in a synthetic and easy to understand format. Although initially formulated to assess the quality of drinking water, it is believed that a similar logic can easily be applied to assess the quality of irrigation water. Studies that evaluate the quality of water for irrigation are very common in arid or semi-arid regions, due to the problems of saline water in the soil and crops. On the other hand, the microbiological approach to water is poorly investigated, since contamination of crops can pose a risk to food security. In this work, three water bodies were selected in rural areas due to their preponderant use: irrigation. The monitoring occurred between May 2012 and April 2013 in 9 sampling points. For each sample collected, 22 physical, chemical, and biological parameters were established. Principal component analysis (PCA) was used in the evaluation and selection of water quality variables to compose the WQI. From PCA, it was possible to reduce the number of parameters from 16 to 6 main ones that reflect the water resources characteristics in the region, which were pH, electrical conductivity, total hardness, sodium absorption ratio, nitrate, and Escherichia coli. Of the five classes proposed for WQI, two points were classified as ""very good."" The other sample points were classified as ""good"" and ""average"" for the irrigation practice. The adapted WQI proved to be a good tool in the management of the water quality of the three rivers, and it can be easily used to assess the quality of water for irrigation in the region.",
1008,"Spatial variation and quantitative screening level assessment of human risk from boron exposure in groundwater resources of western edge of the Lake Urmia, Iran Boron is a ubiquitous element and exposure to high concentrations of boron in drinking water may lead to health outcomes. This study aimed to analyze boron in rural drinking water resources located at the west of Urmia Lake. An innovative risk matrix was developed for faster assessment of risk status and adaptation of mitigation approaches. The mean boron concentration in 121 drinking water sources from 301 villages obtained 1477Â Â±Â 1683 Î¼g/L. In the west of Urmia lake and northwestern parts of the lake (east of Salmas city), boron concentrations were up to twice the World Health Organization (WHO) guidelines. Using regional screening levels calculator of the U.S. Environmental Protection Agency (US.EPA), as a deterministic risk assessment model, the total risks/Non-carcinogenic hazard index (HI) risks from exposure to 13,000 and 2600 Î¼g/L of boron obtained 1.94E+00 and 3.91E-01, respectively. More investigations are recommended for better understanding of the extent of contamination in the study area.",
1009,"Removal of hazardous dyes, toxic metal ions and organic pollutants from wastewater by using porous hyper-cross-linked polymeric materials: A review of recent advances Water quality plays a central role in the well-being of all the living organisms on planet Earth. The ever-increasing human population and consequently increasing industrialization, urbanization, and chemically boosted cultivation are rapidly contaminating already stressed water resources. The availability of clean drinking water has become scarce for masses across the globe, and this situation is becoming alarming in developing countries. Therefore, the immediate need for cost-effective, easily accessible, eco-friendly, portable, thermally efficient, and chemically stable technologies and materials is desperately felt to meet the high global demand for clean water. To search for effective materials for wastewater treatment, the hyper-cross-linked porous polymers (HCPs) have emerged as an excellent class of porous materials for wastewater treatment due to their unique features of high surface area, tunability, biodegradability, and chemical versatility. This review describes the advances in fabrication strategies and the efficient utilization of hyper-cross-linked porous polymers for wastewater treatment. Moreover, this review specifically discusses the hyper-cross-linked porous polymers effectiveness for the separation of the dyes, nutrients, inorganic ions, organic contaminants, and toxic metals ions. Finally, the review provides insight into the challenges and prospects in the area of hyper-cross-linked porous polymers. Overall, the hyper-cross-linked porous polymers with empowering proper functionalization can provide an opportunity for the wastewater treatment not only to remove toxic contaminants but also to make contaminated water useful for various applications.",
