AN,TAB,one,two,Cluster,Cluster Number,Number of Items,Top Cluster Terms
1000,Hiv: Issues with Mental Health and Illness ,,,6,0.0,46.0,"['hpv', 'vaccination', 'and', 'vaccine', 'of', 'school', 'the', 'to', 'hpv vaccine', 'in']"
1001,"Handbook of developmental science, behavior, and genetics ",,,4,1.0,325.0,"['the', 'of', 'and', 'in', 'to', 'for', 'with', 'that', 'of the', 'genetic']"
1002,Clinical handbook of insomnia ,,,5,2.0,123.0,"['and', 'of', 'the', 'in', 'to', 'health', 'social', 'support', 'care', 'maternal']"
1003,Binge eating disorder: a symptom-level investigation of genetic and environmental influences on liability _ Corrigendum ,,,1,3.0,295.0,"['and', 'of', 'cancer', 'the', 'in', 'breast', 'breast cancer', 'risk', 'with', 'to']"
1004,ERRATUM ,,,1,4.0,162.0,"['and', 'diabetes', 'of', 'the', 'in', 'to', 'youth', 'intake', 'dietary', 'with']"
1005,Errata ,,,1,5.0,180.0,"['and', 'the', 'of', 'in', 'to', 'hiv', 'for', 'patients', 'with', 'treatment']"
1006,Erratum ,,,1,6.0,197.0,"['hiv', 'and', 'of', 'the', 'to', 'in', 'women', 'care', 'with', 'for']"
1007,Present knowledge in nutrition ,,,4,7.0,71.0,"['implementation', 'the', 'and', 'of', 'to', 'in', 'managers', 'middle managers', 'health', 'role']"
1008,Nutrigenetics ,,,1,8.0,139.0,"['and', 'of', 'the', 'in', 'loci', 'genome', 'genome wide', 'wide', 'with', 'snps']"
1009,Dietary sugars and health ,,,4,9.0,165.0,"['and', 'of', 'the', 'activity', 'physical', 'physical activity', 'in', 'to', 'with', 'osteoarthritis']"
1010,"Correction to __he influence of sex, ethnicity, and CYP2B6 genotype on bupropion metabolism as an index of hepatic CYP2B6 activity in humans_ ",,,9,,,
1011,Systems biology in toxicology and environmental health ,,,2,,,
1012,Management and leadership skills for medical faculty ,,,5,,,
1013,"Practice Level Costs of Office-Based Hypertension Performance Improvement: The Heart Healthy Lenoir Study EXECUTIVE SUMMARY: Primary care practice leaders who consider engaging in quality improvement (QI) need to understand the practice level costs incurred when asking staff to take on new tasks. The Heart Healthy Lenoir study is a prospective cohort trial in which QI methods were used to enhance hypertension (HTN) care and reduce racial disparities in blood pressure control in small rural primary care practices in North Carolina. As part of this effort, we performed an activity-based costing analysis to describe the costs incurred to develop, implement, and maintain key tasks.We interviewed 20 practice stakeholders and phone-based health coaches during 2012-2014. We calculated the time invested by individuals to perform each task within each study phase and applied national hourly wages to generate cost estimates. Our descriptive analyses focus on four of the most widely used practices. Activities included time to abstract HTN control data, participate in project meetings, identify patients with uncontrolled HTN, create standardized work, and provide additional health coaching for patients with uncontrolled HTN. Despite practice and staffing differences, the developmental phase costs were similar, ranging from $879 to $1,417. Implementation costs varied more widely as practices took different approaches to identifying patients with uncontrolled HTN. Practice-specific phone health coaching costs ranged from $19,508 to more than $38,000. This study adds to the growing literature regarding practice level costs of engaging in systems change. Understanding these costs and balancing them against practice incentives may be helpful as stakeholders make decisions regarding HTN QI.",,,7,,,
1014,Quantitative methods for HIV/AIDS research ,,,5,,,
1015,Principles and concepts of behavioral medicine: A global handbook ,,,4,,,
1016,Principles of nutrigenetics and nutrigenomics ,,,4,,,
